id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
aim_001,1946aim0001,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0001,Central,John B. Sudworth,Lab,1526,,2,1,,4918,,62.05775,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_002,1946aim0001,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0001,Central,John Sparks,Lab,1420,,2,2,,4918,,57.74705,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_003,1946aim0001,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0001,Central,Harry Morris,Con,1062,,2,3,,4918,,43.18829,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_004,1946aim0001,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0001,Central,Alfred Dickinson,Ind,910,,2,4,,4918,,37.00691,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_005,1946aim0002,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0002,East,James Darbyshire,Lab,Unop,,2,,,0,,,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_006,1946aim0002,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0002,East,John Lloyd,Lab,Unop,,2,,,0,,,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_007,1946aim0003,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0003,North,John B. Morris,Lab,668,,2,1,,1437,,92.97147,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_008,1946aim0003,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0003,North,Henry King,Lab,563,,2,2,,1437,,78.35769,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_009,1946aim0003,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0003,North,Rev. J. M. Forrest,Ind,206,,2,3,,1437,,28.67084,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_010,1946aim0004,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0004,South,J. Gleave,Lab,499,,1,1,,821,,60.77954,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_011,1946aim0004,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0004,South,J. Wiswall,Ind,322,,1,2,,821,,39.22046,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
aim_012,1946aim0005,St. Helens,Ashton-in-Makerfield,St. Helens,1946,aim0005,West,T. Webster,Lab,1124,,1,1,,1422,,79.0436,http://www.electionscentre.co.uk/?page_id=3953 & The Wigan Observer @ Wigan Local Studies centre in the Museum of Wigan ,
