id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
baw_001,1946baw0001,St. Helens,Billinge & Winstanley,St. Helens,1946,baw0001,Chapel End,J. Ratcliffe,Lab,503,,3,1,,2056,,73.39494,,
baw_002,1946baw0001,St. Helens,Billinge & Winstanley,St. Helens,1946,baw0001,Chapel End,Ms. Elsie Hazelhurst,Lab,371,1,3,2,,2056,,54.13424,,
baw_003,1946baw0001,St. Helens,Billinge & Winstanley,St. Helens,1946,baw0001,Chapel End,W. Darbyshire,Lab,293,,3,3,,2056,,42.75292,,
baw_004,1946baw0001,St. Helens,Billinge & Winstanley,St. Helens,1946,baw0001,Chapel End,F. H. Anderton,R.A.,274,,3,4,,2056,,39.98055,,
baw_005,1946baw0001,St. Helens,Billinge & Winstanley,St. Helens,1946,baw0001,Chapel End,J. Hanrahan,R.A.,272,,3,5,,2056,,39.68872,,
baw_006,1946baw0001,St. Helens,Billinge & Winstanley,St. Helens,1946,baw0001,Chapel End,T. R/B Anderton,Ind. Lab.,201,,3,6,,2056,,29.32879,,
baw_007,1946baw0001,St. Helens,Billinge & Winstanley,St. Helens,1946,baw0001,Chapel End,J. Balmer,Ind.,142,,3,7,,2056,,20.71984,,
baw_008,1946baw0002,St. Helens,Billinge & Winstanley,St. Helens,1946,baw0002,Higher End,A. Martlew,Ind,630,,2,1,,1739,,72.45544,,
baw_009,1946baw0002,St. Helens,Billinge & Winstanley,St. Helens,1946,baw0002,Higher End,F. C. Butcher,Lab,622,,2,2,,1739,,71.53536,,
baw_010,1946baw0002,St. Helens,Billinge & Winstanley,St. Helens,1946,baw0002,Higher End,G. M. Makin,Ind,487,,2,3,,1739,,56.0092,,
baw_011,1947baw0001,St. Helens,Billinge & Winstanley,St. Helens,1947,baw0001,Chapel End,Harold Lower,Lab,437,,2,1,,1037,,84.28158,,
baw_012,1947baw0001,St. Helens,Billinge & Winstanley,St. Helens,1947,baw0001,Chapel End,Hugh Parr,Lab,433,,2,2,,1037,,83.51012,,
baw_013,1947baw0001,St. Helens,Billinge & Winstanley,St. Helens,1947,baw0001,Chapel End,John Baynes,Con,167,,2,3,,1037,,32.20829,,
baw_014,1947baw0002,St. Helens,Billinge & Winstanley,St. Helens,1947,baw0002,Higher End,H. Winstanley,Lab,610,,2,1,,2124,,57.43879,,
baw_015,1947baw0002,St. Helens,Billinge & Winstanley,St. Helens,1947,baw0002,Higher End,J. Wainwright,Con,573,,2,2,,2124,,53.9548,,
baw_016,1947baw0002,St. Helens,Billinge & Winstanley,St. Helens,1947,baw0002,Higher End,William Derbyshire,Lab,502,,2,3,,2124,,47.2693,,
baw_017,1947baw0002,St. Helens,Billinge & Winstanley,St. Helens,1947,baw0002,Higher End,Joseph Coulshed,Ind,439,,2,4,,2124,,41.3371,,
baw_018,1947baw0003,St. Helens,Billinge & Winstanley,St. Helens,1947,baw0003,Winstanley,S. Fouracre,Con,213,,1,1,,439,,48.51936,,
baw_019,1947baw0003,St. Helens,Billinge & Winstanley,St. Helens,1947,baw0003,Winstanley,F. Garner,R.A.,160,,1,2,,439,,36.44647,,
baw_020,1947baw0003,St. Helens,Billinge & Winstanley,St. Helens,1947,baw0003,Winstanley,W. Brown,Lab,66,,1,3,,439,,15.03417,,
baw_021,1948baw0001,St. Helens,Billinge & Winstanley,St. Helens,1948,baw0001,Chapel End,William Martlew,Lab,Unop,,1,,,0,,,,
baw_022,1948baw0002,St. Helens,Billinge & Winstanley,St. Helens,1948,baw0002,Higher End,James Gaskell,Ind,710,,2,1,,1916,,74.11273,,
baw_023,1948baw0002,St. Helens,Billinge & Winstanley,St. Helens,1948,baw0002,Higher End,William Derbyshire,Lab,626,,2,2,,1916,,65.34447,,
baw_024,1948baw0002,St. Helens,Billinge & Winstanley,St. Helens,1948,baw0002,Higher End,John Wainwright,Con,580,,2,3,,1916,,60.5428,,
baw_025,1948baw0003,St. Helens,Billinge & Winstanley,St. Helens,1948,baw0003,Winstanley,Arthur Sherrington,Con,388,,2,1,,859,,90.3376,,
baw_026,1948baw0003,St. Helens,Billinge & Winstanley,St. Helens,1948,baw0003,Winstanley,James Turner,Con,367,,2,2,,859,,85.4482,,
baw_027,1948baw0003,St. Helens,Billinge & Winstanley,St. Helens,1948,baw0003,Winstanley,Arthur N Lowe,Lab,104,,2,3,,859,,24.2142,,
baw_028,1949baw0001,St. Helens,Billinge & Winstanley,St. Helens,1949,baw0001,Chapel End,W. Taylor,Lab,565,,2,1,,1482,,76.24831,,
baw_029,1949baw0001,St. Helens,Billinge & Winstanley,St. Helens,1949,baw0001,Chapel End,A. Lowe,Lab,550,,2,2,,1482,,74.22402,,
baw_030,1949baw0001,St. Helens,Billinge & Winstanley,St. Helens,1949,baw0001,Chapel End,J. Gaffney,Con,367,,2,3,,1482,,49.52766,,
baw_031,1949baw0002,St. Helens,Billinge & Winstanley,St. Helens,1949,baw0002,Higher End,A. Martlew,Ind,636,,2,1,,2095,,60.71599,,
baw_032,1949baw0002,St. Helens,Billinge & Winstanley,St. Helens,1949,baw0002,Higher End,T. Sharrock,Lab,513,,2,2,,2095,,48.97375,,
baw_033,1949baw0002,St. Helens,Billinge & Winstanley,St. Helens,1949,baw0002,Higher End,F. C. Butcher,Ind,473,,2,3.5,,2095,,45.15513,,
baw_034,1949baw0002,St. Helens,Billinge & Winstanley,St. Helens,1949,baw0002,Higher End,J. W. Roby,Lab,473,,2,3.5,,2095,,45.15513,,
