id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
birk_003,1945birk1001,Birkenhead,Birkenhead,Wirral,1945,birk1001,Argyle,Newman E.,Lab,1116,0,1,1,4845,1821,37.5851,61.28501,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-1",
birk_002,1945birk1001,Birkenhead,Birkenhead,Wirral,1945,birk1001,Argyle,Morris F.,Con,511,0,1,2,4845,1821,37.5851,28.0615,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-2",
birk_001,1945birk1001,Birkenhead,Birkenhead,Wirral,1945,birk1001,Argyle,Rawlings J.,Comm,194,0,1,3,4845,1821,37.5851,10.65349,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-3",
birk_004,1945birk1002,Birkenhead,Birkenhead,Wirral,1945,birk1002,Bebington,Chisholm J.,Lab,1386,0,1,1,6537,2439,37.3107,56.82657,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-4",
birk_005,1945birk1002,Birkenhead,Birkenhead,Wirral,1945,birk1002,Bebington,Baty T.,Con,1053,0,1,2,6537,2439,37.3107,43.17343,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-5",
birk_006,1945birk1003,Birkenhead,Birkenhead,Wirral,1945,birk1003,Cathcart,Anderson T.,Lab,0,0,2,1.5,5918,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-6",
birk_007,1945birk1003,Birkenhead,Birkenhead,Wirral,1945,birk1003,Cathcart,Power W.,Lab,0,0,2,1.5,5918,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-7",
birk_009,1945birk1004,Birkenhead,Birkenhead,Wirral,1945,birk1004,Claughton,Kennedy J.,Con,1916,0,2,1,5274,5364,50.8532,71.43922,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-8",
birk_010,1945birk1004,Birkenhead,Birkenhead,Wirral,1945,birk1004,Claughton,Woodcock G.,Con,1913,0,2,2,5274,5364,50.8532,71.32737,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-9",
birk_011,1945birk1004,Birkenhead,Birkenhead,Wirral,1945,birk1004,Claughton,Gates J.,Lab,768,0,2,3,5274,5364,50.8532,28.63535,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-10",
birk_008,1945birk1004,Birkenhead,Birkenhead,Wirral,1945,birk1004,Claughton,McMillan A.,Lab,767,0,2,4,5274,5364,50.8532,28.59806,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-11",
birk_013,1945birk1005,Birkenhead,Birkenhead,Wirral,1945,birk1005,Cleveland,Tudor W.,Lab,0,0,2,1.5,4759,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-12",
birk_012,1945birk1005,Birkenhead,Birkenhead,Wirral,1945,birk1005,Cleveland,Herron T.,Lab,0,0,2,1.5,4759,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-13",
birk_016,1945birk1006,Birkenhead,Birkenhead,Wirral,1945,birk1006,Clifton,Melville R.,Lab,1656,0,2,1,6212,4055,32.6384,81.67694,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-14",
birk_015,1945birk1006,Birkenhead,Birkenhead,Wirral,1945,birk1006,Clifton,Gardner E.,Lab,1644,1,2,2,6212,4055,32.6384,81.08508,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-15",
birk_014,1945birk1006,Birkenhead,Birkenhead,Wirral,1945,birk1006,Clifton,Walton G.,Con,755,1,2,3,6212,4055,32.6384,37.23798,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-16",
birk_017,1945birk1007,Birkenhead,Birkenhead,Wirral,1945,birk1007,Devonshire,Johnston R.,Con,1539,0,2,1,6145,6538,53.1977,47.07862,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-17",
birk_018,1945birk1007,Birkenhead,Birkenhead,Wirral,1945,birk1007,Devonshire,Baker W.,Con,1523,0,2,2,6145,6538,53.1977,46.58917,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-18",
birk_022,1945birk1007,Birkenhead,Birkenhead,Wirral,1945,birk1007,Devonshire,Boston W.,Lab,1172,0,2,3,6145,6538,53.1977,35.85194,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-19",
birk_019,1945birk1007,Birkenhead,Birkenhead,Wirral,1945,birk1007,Devonshire,Browne J.,Lab,1125,0,2,4,6145,6538,53.1977,34.41419,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-20",
birk_020,1945birk1007,Birkenhead,Birkenhead,Wirral,1945,birk1007,Devonshire,Rhys H.,Lib,622,0,2,5,6145,6538,53.1977,19.02723,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-21",
birk_021,1945birk1007,Birkenhead,Birkenhead,Wirral,1945,birk1007,Devonshire,Crawshaw C.,Lib,557,0,2,6,6145,6538,53.1977,17.03885,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-22",
birk_024,1945birk1008,Birkenhead,Birkenhead,Wirral,1945,birk1008,Egerton,Pappworth A.,Lab,1807,0,1,1,7610,3481,45.7424,51.91037,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-23",
