id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
boo_001,1945boot1001,Bootle,Bootle,Sefton,1945,boot1001,Derby,Rogerson R.,Con,2281,0,3,3,8632,11344,43.80599,60.32264,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-1",
boo_002,1945boot1001,Bootle,Bootle,Sefton,1945,boot1001,Derby,Spence J.,Con,2364,0,3,1,8632,11344,43.80599,62.51763,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-2",
boo_003,1945boot1001,Bootle,Bootle,Sefton,1945,boot1001,Derby,Edwards E.,Lab,1491,0,3,4,8632,11344,43.80599,39.43053,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-3",
boo_004,1945boot1001,Bootle,Bootle,Sefton,1945,boot1001,Derby,Doolay T.,Con,2326,0,3,2,8632,11344,43.80599,61.5127,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-4",
boo_005,1945boot1001,Bootle,Bootle,Sefton,1945,boot1001,Derby,Smith E.,Lab,1461,1,3,5,8632,11344,43.80599,38.63717,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-5",
boo_006,1945boot1001,Bootle,Bootle,Sefton,1945,boot1001,Derby,Harvey J.,Lab,1421,0,3,6,8632,11344,43.80599,37.57934,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-6",
boo_007,1945boot1002,Bootle,Bootle,Sefton,1945,boot1002,Knowlsey,Jardine D.,Con,476,0,2,4,4483,3382,37.72028,28.14902,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-7",
boo_008,1945boot1002,Bootle,Bootle,Sefton,1945,boot1002,Knowlsey,Keenan W.,Lab,1220,0,2,1,4483,3382,37.72028,72.14666,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-8",
boo_009,1945boot1002,Bootle,Bootle,Sefton,1945,boot1002,Knowlsey,Gee H.,Con,514,0,2,3,4483,3382,37.72028,30.39622,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-9",
boo_010,1945boot1002,Bootle,Bootle,Sefton,1945,boot1002,Knowlsey,Connolly T.,Lab,1172,0,2,2,4483,3382,37.72028,69.30811,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-10",
boo_011,1945boot1003,Bootle,Bootle,Sefton,1945,boot1003,Linacre,Harrison W.,Lab,1821,0,3,1,5894,8704,49.2252,62.76425,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-11",
boo_012,1945boot1003,Bootle,Bootle,Sefton,1945,boot1003,Linacre,Lennie J.,Con,1148,0,3,4,5894,8704,49.2252,39.56802,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-12",
boo_013,1945boot1003,Bootle,Bootle,Sefton,1945,boot1003,Linacre,Travers J.,Lab,1796,0,3,3,5894,8704,49.2252,61.90257,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-13",
boo_014,1945boot1003,Bootle,Bootle,Sefton,1945,boot1003,Linacre,Davis W.,Con,1085,0,3,5,5894,8704,49.2252,37.3966,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-14",
boo_015,1945boot1003,Bootle,Bootle,Sefton,1945,boot1003,Linacre,Kelly J.,Lab,1810,0,3,2,5894,8704,49.2252,62.38511,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-15",
boo_016,1945boot1003,Bootle,Bootle,Sefton,1945,boot1003,Linacre,Hodgson G.,Con,1044,0,3,6,5894,8704,49.2252,35.98346,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-16",
boo_017,1945boot1004,Bootle,Bootle,Sefton,1945,boot1004,Mersey,Greswell G.,Lab,1425,0,4,2,4049,8517,52.58706,66.92497,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-17",
boo_018,1945boot1004,Bootle,Bootle,Sefton,1945,boot1004,Mersey,Martinson C.,Comm,148,0,4,11,4049,8517,52.58706,6.950804,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-18",
