id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
cro_001,1945cro1001,Lancashire,Crosby,Sefton,1945,cro1001,Central,A. Collins,I.Prog,790,0,1,1,3889,1524,39.18745,51.83727,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_002,1945cro1001,Lancashire,Crosby,Sefton,1945,cro1001,Central,Ms. M. Wilkinson,Lab,734,1,1,2,3889,1524,39.18745,48.16273,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_003,1945cro1002,Lancashire,Crosby,Sefton,1945,cro1002,Christ Church,H. Jackson,Rpa,541,0,1,1,3066,1335,43.54208,40.52435,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_004,1945cro1002,Lancashire,Crosby,Sefton,1945,cro1002,Christ Church,W. Currie,I.Prog,472,0,1,2,3066,1335,43.54208,35.3558,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_005,1945cro1002,Lancashire,Crosby,Sefton,1945,cro1002,Christ Church,Ms. S. Palmer,Lab,322,1,1,3,3066,1335,43.54208,24.11985,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_006,1945cro1003,Lancashire,Crosby,Sefton,1945,cro1003,College,D. Sawyer,Rpa,1297,0,1,1,5133,2098,40.87278,61.82078,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_007,1945cro1003,Lancashire,Crosby,Sefton,1945,cro1003,College,J. Kendrick,I.Prog,801,0,1,2,5133,2098,40.87278,38.17922,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_009,1945cro1004,Lancashire,Crosby,Sefton,1945,cro1004,East,E. Rosewarne,Rpa,Unop,0,2,1.5,4070,0,0,,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_008,1945cro1004,Lancashire,Crosby,Sefton,1945,cro1004,East,J. Harding,Rpa,Unop,0,2,1.5,4070,0,0,,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_010,1945cro1005,Lancashire,Crosby,Sefton,1945,cro1005,Little Crosby & Hightown,R. Thompson,Rpa,776,0,2,1,1835,1819,49.56403,85.3216,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_011,1945cro1005,Lancashire,Crosby,Sefton,1945,cro1005,Little Crosby & Hightown,W. Fothergill,Rpa,772,0,2,2,1835,1819,49.56403,84.88181,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_012,1945cro1005,Lancashire,Crosby,Sefton,1945,cro1005,Little Crosby & Hightown,J. Shaw,I.Prog,271,0,2,3,1835,1819,49.56403,29.79659,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_013,1945cro1006,Lancashire,Crosby,Sefton,1945,cro1006,North,R. Hill,Rpa,1084,0,2,1,3132,2993,47.78097,72.43568,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_014,1945cro1006,Lancashire,Crosby,Sefton,1945,cro1006,North,W. Griffiths,Rpa,954,0,2,2,3132,2993,47.78097,63.74875,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_015,1945cro1006,Lancashire,Crosby,Sefton,1945,cro1006,North,H. Wensley,I.Prog,505,0,2,3,3132,2993,47.78097,33.74541,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_016,1945cro1006,Lancashire,Crosby,Sefton,1945,cro1006,North,T. Walker,I.Prog,450,0,2,4,3132,2993,47.78097,30.07016,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_017,1945cro1007,Lancashire,Crosby,Sefton,1945,cro1007,Sandheys,J. Peach,I.Prog,1480,0,1,1,5593,4872,87.10889,30.37767,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_018,1945cro1007,Lancashire,Crosby,Sefton,1945,cro1007,Sandheys,A. Lahy,Lab,814,0,1,2,5593,4872,87.10889,16.70772,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_020,1945cro1007,Lancashire,Crosby,Sefton,1945,cro1007,South,F. Sutton,Lab,740,0,2,3,2979,4872,81.77241,30.37767,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_021,1945cro1007,Lancashire,Crosby,Sefton,1945,cro1007,South,H. Dickson,Lab,702,0,2,4,2979,4872,81.77241,28.81773,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
cro_019,1945cro1007,Lancashire,Crosby,Sefton,1945,cro1007,Sandheys,J. Spencer,Rpa,679,0,1,5,5593,4872,87.10889,13.93678,http://www.electionscentre.co.uk/?page_id=3953 & Crosby Herald ,
