id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
hoy_001,1946hoy1001,Cheshire,Hoylake,Wirral,1946,hoy1001,North,Wm. Burrows,Ind,1439,0,4,1,4560,7186,39.39693,80.1002,Hoylake Advertiser,
hoy_002,1946hoy1001,Cheshire,Hoylake,Wirral,1946,hoy1001,North,Coun. Al. L. Roper,Ind,1322,0,4,2,4560,7186,39.39693,73.58753,Hoylake Advertiser,
hoy_003,1946hoy1001,Cheshire,Hoylake,Wirral,1946,hoy1001,North,G. A. Coard,Ind,1288,0,4,3,4560,7186,39.39693,71.69496,Hoylake Advertiser,
hoy_004,1946hoy1001,Cheshire,Hoylake,Wirral,1946,hoy1001,North,Coun. T. H. King,Ind,1239,0,4,4,4560,7186,39.39693,68.96744,Hoylake Advertiser,
hoy_005,1946hoy1001,Cheshire,Hoylake,Wirral,1946,hoy1001,North,S. V. Tomkinson,Ind,959,0,4,5,4560,7186,39.39693,53.38158,Hoylake Advertiser,
hoy_006,1946hoy1001,Cheshire,Hoylake,Wirral,1946,hoy1001,North,"S. Evans, J.P.",Ind,939,0,4,6,4560,7186,39.39693,52.2683,Hoylake Advertiser,
hoy_008,1946hoy1002,Cheshire,Hoylake,Wirral,1946,hoy1002,Central,Coun. Ellis Jones,Ind,Unop,0,2,,,0,,,Hoylake Advertiser,
hoy_007,1946hoy1002,Cheshire,Hoylake,Wirral,1946,hoy1002,Central,Coun. F. h. Smith,Ind,Unop,0,2,,,0,,,Hoylake Advertiser,
hoy_015,1946hoy1003,Cheshire,Hoylake,Wirral,1946,hoy1003,South,Coun. R. G. Morton,Ind,Unop,0,2,,,0,,,Hoylake Advertiser,
hoy_016,1946hoy1003,Cheshire,Hoylake,Wirral,1946,hoy1003,South,Miss Ivy A. Ireland,Ind,Unop,1,2,,,0,,,Hoylake Advertiser,
hoy_009,1946hoy1004,Cheshire,Hoylake,Wirral,1946,hoy1004,Park,Coun. R. Futon,Ind,756,0,3,1,2872,3274,37.99907,69.27306,Hoylake Advertiser,
hoy_010,1946hoy1004,Cheshire,Hoylake,Wirral,1946,hoy1004,Park,Coun. H. H. Edis,Ind,749,0,3,2,2872,3274,37.99907,68.63165,Hoylake Advertiser,
hoy_011,1946hoy1004,Cheshire,Hoylake,Wirral,1946,hoy1004,Park,"Coun. Miss Phyliss A. Lee, J.P.",Ind,530,1,3,3,2872,3274,37.99907,48.56445,Hoylake Advertiser,
