id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
huy_001,1946huy1001,Lancashire,Huyton,Knowsley,1946,huy1001,Fincham,W. H. Bygroves,Lab,736,0,2,1,,1615,,91.14551,,
huy_002,1946huy1001,Lancashire,Huyton,Knowsley,1946,huy1001,Fincham,A. McCracken,Lab,700,0,2,2,,1615,,86.68731,,
huy_003,1946huy1001,Lancashire,Huyton,Knowsley,1946,huy1001,Fincham,P. A. Francis,Comm,179,0,2,3,,1615,,22.16718,,
huy_004,1946huy1002,Lancashire,Huyton,Knowsley,1946,huy1002,Huyton Farm,A. Drinkwater,Lab,408,0,1,1,,686,,59.47522,,
huy_005,1946huy1002,Lancashire,Huyton,Knowsley,1946,huy1002,Huyton Farm,S. H. F. Selfow,R.A.,278,0,1,2,,686,,40.52478,,
huy_006,1946huy1003,Lancashire,Huyton,Knowsley,1946,huy1003,Longview,Dr. A. Clein,Lab,771,0,3,1,,3512,,65.85991,,
huy_007,1946huy1003,Lancashire,Huyton,Knowsley,1946,huy1003,Longview,F. W. Grosart,Lab,759,0,3,2,,3512,,64.83485,,
huy_008,1946huy1003,Lancashire,Huyton,Knowsley,1946,huy1003,Longview,C. Shaw,Lab,729,0,3,3,,3512,,62.27221,,
huy_009,1946huy1003,Lancashire,Huyton,Knowsley,1946,huy1003,Longview,W. E. Roberts,Con,461,0,3,4,,3512,,39.37927,,
huy_010,1946huy1003,Lancashire,Huyton,Knowsley,1946,huy1003,Longview,A. Wharmby,Con,416,0,3,5,,3512,,35.53531,,
huy_011,1946huy1003,Lancashire,Huyton,Knowsley,1946,huy1003,Longview,R. S. Gale,Con,376,0,3,6,,3512,,32.11845,,
huy_012,1946huy1004,Lancashire,Huyton,Knowsley,1946,huy1004,St. Anges,J. S. Downs,Ind,378,0,1,1,,718,,52.64624,,
huy_013,1946huy1004,Lancashire,Huyton,Knowsley,1946,huy1004,St. Anges,T. Percy,Ind,340,0,1,2,,718,,47.35376,,
huy_014,1946huy1005,Lancashire,Huyton,Knowsley,1946,huy1005,St. Bartholomew’s,J. Donoghue,Lab,530,0,2,1,,2167,,48.91555,,
huy_015,1946huy1005,Lancashire,Huyton,Knowsley,1946,huy1005,St. Bartholomew’s,Mrs C. Donoghue,Lab,487,1,2,2,,2167,,44.94693,,
huy_016,1946huy1005,Lancashire,Huyton,Knowsley,1946,huy1005,St. Bartholomew’s,D. Jukes,R.A.,469,0,2,3,,2167,,43.28565,,
huy_017,1946huy1005,Lancashire,Huyton,Knowsley,1946,huy1005,St. Bartholomew’s,B. P. Jordan,R.A.,465,0,2,4,,2167,,42.91647,,
huy_018,1946huy1005,Lancashire,Huyton,Knowsley,1946,huy1005,St. Bartholomew’s,S. Waxman,Comm,216,0,2,5,,2167,,19.93539,,
huy_019,1946huy1006,Lancashire,Huyton,Knowsley,1946,huy1006,St. Gabriel’s,R. Foulkes,Lab,516,0,2,1,,1605,,64.29906,,
huy_020,1946huy1006,Lancashire,Huyton,Knowsley,1946,huy1006,St. Gabriel’s,W. A. Powell,Lab,451,0,2,2,,1605,,56.19938,,
huy_021,1946huy1006,Lancashire,Huyton,Knowsley,1946,huy1006,St. Gabriel’s,J. R. Sutcliffe,R.A.,336,0,2,3,,1605,,41.86916,,
huy_022,1946huy1006,Lancashire,Huyton,Knowsley,1946,huy1006,St. Gabriel’s,J. R. Biglands,R.A.,302,0,2,4,,1605,,37.6324,,
huy_023,1946huy1007,Lancashire,Huyton,Knowsley,1946,huy1007,St. Michael’s,J. R. Colbert,R.A.,1153,0,2,1,,3013,,76.53501,,
huy_024,1946huy1007,Lancashire,Huyton,Knowsley,1946,huy1007,St. Michael’s,J. Bevan,R.A.,1149,0,2,2,,3013,,76.2695,,
huy_026,1946huy1007,Lancashire,Huyton,Knowsley,1946,huy1007,St. Michael’s,R. Osborne,Lab,397,0,2,3,,3013,,26.35247,,
huy_025,1946huy1007,Lancashire,Huyton,Knowsley,1946,huy1007,St. Michael’s,Mrs M. O'Hare,Lab,314,1,2,4,,3013,,20.84301,,
huy_027,1946huy1008,Lancashire,Huyton,Knowsley,1946,huy1008,Swanside,W. Humphries,Lab,544,0,2,1,,2115,,51.44208,,
huy_028,1946huy1008,Lancashire,Huyton,Knowsley,1946,huy1008,Swanside,W. Berrington,Lab,538,0,2,2,,2115,,50.87471,,
huy_029,1946huy1008,Lancashire,Huyton,Knowsley,1946,huy1008,Swanside,W. O. Jones,R.A.,529,0,2,3,,2115,,50.02364,,
huy_030,1946huy1008,Lancashire,Huyton,Knowsley,1946,huy1008,Swanside,H. N. Stacey,R.A.,504,0,2,4,,2115,,47.65957,,
huy_040,1947huy1001,Lancashire,Huyton,Knowsley,1947,huy1001,St. Bartholomew’s,J. J. Coward,Comm,128,0,1,1,,128,,100,,
huy_031,1947huy1001,Lancashire,Huyton,Knowsley,1947,huy1001,Fincham,F. Horrigan,Lab,Unop,0,1,,,128,,,,
huy_032,1947huy1002,Lancashire,Huyton,Knowsley,1947,huy1002,Huyton Farm,C. N. Rogers,Con,589,0,1,1,,1627,,36.2016,,
huy_041,1947huy1002,Lancashire,Huyton,Knowsley,1947,huy1002,St. Gabriel’s,J. Rogers,R.A.,517,0,2,2,,1627,,63.55255,,
huy_033,1947huy1002,Lancashire,Huyton,Knowsley,1947,huy1002,Huyton Farm,T. Kearns,Lab,461,0,1,3,,1627,,28.33436,,
huy_034,1947huy1002,Lancashire,Huyton,Knowsley,1947,huy1002,Huyton Farm,H. Strapps,R.A.,60,0,1,4,,1627,,3.687769,,
huy_035,1947huy1003,Lancashire,Huyton,Knowsley,1947,huy1003,Longview,C. Shaw,Lab,810,0,1,1,,1452,,55.78513,,
huy_036,1947huy1003,Lancashire,Huyton,Knowsley,1947,huy1003,Longview,R. S. Gale,Con,642,0,1,2,,1452,,44.21487,,
huy_037,1947huy1004,Lancashire,Huyton,Knowsley,1947,huy1004,St. Agnes,R. Boocock,R.A.,Unop,0,1,,,0,,,,
huy_038,1947huy1005,Lancashire,Huyton,Knowsley,1947,huy1005,St. Bartholomew’s,L. B. Charnley,R.A,924,0,1,1,,1472,,62.77174,,
huy_039,1947huy1005,Lancashire,Huyton,Knowsley,1947,huy1005,St. Bartholomew’s,R. Osborne,Lab,548,0,1,2,,1472,,37.22826,,
huy_042,1947huy1006,Lancashire,Huyton,Knowsley,1947,huy1006,St. Gabriel’s,J. R. Biglands,R.A.,504,0,2,1,,1066,,94.5591,,
huy_043,1947huy1006,Lancashire,Huyton,Knowsley,1947,huy1006,St. Gabriel’s,G. P. McMahon,Lab,323,0,2,2,,1066,,60.60038,,
huy_044,1947huy1006,Lancashire,Huyton,Knowsley,1947,huy1006,St. Gabriel’s,B. A. Roberts,Lab,239,0,2,3,,1066,,44.84053,,
huy_045,1947huy1007,Lancashire,Huyton,Knowsley,1947,huy1007,St. Michael’s,A. Johnstone,R.A.,1168,0,1,1,,1411,,82.77817,,
huy_046,1947huy1007,Lancashire,Huyton,Knowsley,1947,huy1007,St. Michael’s,Mrs M. O'Hare,Lab,243,1,1,2,,1411,,17.22183,,
huy_047,1947huy1008,Lancashire,Huyton,Knowsley,1947,huy1008,Swanside,W. O. Jones,R.A.,972,0,1,1,,1482,,65.58704,,
huy_048,1947huy1008,Lancashire,Huyton,Knowsley,1947,huy1008,Swanside,Mrs M. Taylor,Lab,510,1,1,2,,1482,,34.41296,,
huy_049,1948huy1001,Lancashire,Huyton,Knowsley,1948,huy1001,Fincham,A. McCracken,Lab,1388,0,1,1,,1954,,71.03378,,
huy_050,1948huy1001,Lancashire,Huyton,Knowsley,1948,huy1001,Fincham,F. R. Foster,Con,566,0,1,2,,1954,,28.96622,,
huy_051,1948huy1002,Lancashire,Huyton,Knowsley,1948,huy1002,Huyton Farm,A. Hambleton,Lab,717,0,1,1,,1303,,55.02686,,
huy_052,1948huy1002,Lancashire,Huyton,Knowsley,1948,huy1002,Huyton Farm,L. Crosbie,Con,586,0,1,2,,1303,,44.97314,,
huy_053,1948huy1003,Lancashire,Huyton,Knowsley,1948,huy1003,Longview,F. W. Grosart,Lab,767,0,1,1,,1448,,52.96961,,
huy_054,1948huy1003,Lancashire,Huyton,Knowsley,1948,huy1003,Longview,W. E. Roberts,Con,681,0,1,2,,1448,,47.03039,,
huy_055,1948huy1004,Lancashire,Huyton,Knowsley,1948,huy1004,St. Agnes,J. J. McGoldrick,R.A.,643,0,1,1,,704,,91.33523,,
huy_056,1948huy1004,Lancashire,Huyton,Knowsley,1948,huy1004,St. Agnes,E. W. Taylor,Lab,61,0,1,2,,704,,8.664773,,
huy_057,1948huy1005,Lancashire,Huyton,Knowsley,1948,huy1005,St. Bartholomew’s,B. P. Jordan,R.A.,1123,0,1,1,,2070,,54.25121,,
huy_058,1948huy1005,Lancashire,Huyton,Knowsley,1948,huy1005,St. Bartholomew’s,Mrs C. L. Donoghue,Lab,947,1,1,2,,2070,,45.74879,,
huy_059,1948huy1006,Lancashire,Huyton,Knowsley,1948,huy1006,St. Gabriel’s,J. R. Biglands,R.A.,513,0,1,1,,929,,55.22067,,
huy_060,1948huy1006,Lancashire,Huyton,Knowsley,1948,huy1006,St. Gabriel’s,G. P. McMahon,Lab,416,0,1,2,,929,,44.77933,,
huy_061,1948huy1007,Lancashire,Huyton,Knowsley,1948,huy1007,St. Michael’s,J. Bevan,R.A.,1056,0,1,1,,1218,,86.69951,,
huy_062,1948huy1007,Lancashire,Huyton,Knowsley,1948,huy1007,St. Michael’s,J. O'Hagan,Lab,162,0,1,2,,1218,,13.30049,,
huy_064,1948huy1008,Lancashire,Huyton,Knowsley,1948,huy1008,Swanside,W. A. Hughes,R.A.,757,0,1,1,,2118,,35.74126,,
huy_063,1948huy1008,Lancashire,Huyton,Knowsley,1948,huy1008,Swanside,W. Berringham,Lab,728,0,1,2,,2118,,34.37205,,
huy_065,1948huy1008,Lancashire,Huyton,Knowsley,1948,huy1008,Swanside,C. E. Harwood,Con,633,0,1,3,,2118,,29.88669,,
huy_066,1949huy1001,Lancashire,Huyton,Knowsley,1949,huy1001,Fincham,C. Delaney,Lab,1678,0,1,1,,2563,,65.47015,,
huy_067,1949huy1001,Lancashire,Huyton,Knowsley,1949,huy1001,Fincham,J. Duke,Con,885,0,1,2,,2563,,34.52985,,
huy_068,1949huy1002,Lancashire,Huyton,Knowsley,1949,huy1002,Huyton Farm,C. Segar,Con,706,0,1,1,,1384,,51.01156,,
huy_069,1949huy1002,Lancashire,Huyton,Knowsley,1949,huy1002,Huyton Farm,A. Drinkwater,Lab,678,0,1,2,,1384,,48.98844,,
huy_070,1949huy1003,Lancashire,Huyton,Knowsley,1949,huy1003,Longview,J. Maguire,Lab,1136,0,1,1,,1918,,59.22836,,
huy_071,1949huy1003,Lancashire,Huyton,Knowsley,1949,huy1003,Longview,D. S. Crichton,Con,739,0,1,2,,1918,,38.52972,,
huy_072,1949huy1003,Lancashire,Huyton,Knowsley,1949,huy1003,Longview,S. Bird,Comm,43,0,1,3,,1918,,2.241919,,
huy_073,1949huy1004,Lancashire,Huyton,Knowsley,1949,huy1004,St. Agnes,W. R. E. Cross,R.A.,534,0,1,1,,605,,88.26447,,
huy_074,1949huy1004,Lancashire,Huyton,Knowsley,1949,huy1004,St. Agnes,P. Maguire,Lab,71,0,1,2,,605,,11.73554,,
huy_075,1949huy1005,Lancashire,Huyton,Knowsley,1949,huy1005,St. Bartholomew’s,L. S. Barrington,R.A.,1315,0,1,1,,2194,,59.93619,,
huy_076,1949huy1005,Lancashire,Huyton,Knowsley,1949,huy1005,St. Bartholomew’s,J. T. Donoghue,Lab,851,0,1,2,,2194,,38.7876,,
huy_077,1949huy1005,Lancashire,Huyton,Knowsley,1949,huy1005,St. Bartholomew’s,C. M. Hines,Comm,28,0,1,3,,2194,,1.276208,,
huy_078,1949huy1006,Lancashire,Huyton,Knowsley,1949,huy1006,St. Gabriel’s,R. Foulkes,Lab,651,0,1,1,,1053,,61.82336,,
huy_079,1949huy1006,Lancashire,Huyton,Knowsley,1949,huy1006,St. Gabriel’s,A. E. Welsby,R.A.,402,0,1,2,,1053,,38.17664,,
huy_080,1949huy1007,Lancashire,Huyton,Knowsley,1949,huy1007,St. Michael’s,H. Owens,Con,1175,0,1,1,,2824,,41.60765,,
huy_081,1949huy1007,Lancashire,Huyton,Knowsley,1949,huy1007,St. Michael’s,R. Osborne,Lab,865,0,1,2,,2824,,30.63031,,
huy_082,1949huy1007,Lancashire,Huyton,Knowsley,1949,huy1007,St. Michael’s,J. R. Colbert,R. A.,784,0,1,3,,2824,,27.76204,,
huy_083,1949huy1008,Lancashire,Huyton,Knowsley,1949,huy1008,Swanside,S. H. Hooper,R.A.,1254,0,1,1,,2014,,62.26415,,
huy_084,1949huy1008,Lancashire,Huyton,Knowsley,1949,huy1008,Swanside,W. Berrington,Lab,760,0,1,2,,2014,,37.73585,,
huy_085,1950huy1001,Lancashire,Huyton,Knowsley,1950,huy1001,Fincham,C. Kelly,Lab,1467,0,1,1,,2112,,69.46023,,
huy_086,1950huy1001,Lancashire,Huyton,Knowsley,1950,huy1001,Fincham,F. R. Foster,Con,645,0,1,2,,2112,,30.53977,,
huy_087,1950huy1002,Lancashire,Huyton,Knowsley,1950,huy1002,Huyton Farm,D. Taylor,Lab,701,0,1,1,,1398,,50.14306,,
huy_088,1950huy1002,Lancashire,Huyton,Knowsley,1950,huy1002,Huyton Farm,J. Duke,Con,697,0,1,2,,1398,,49.85694,,
huy_089,1950huy1003,Lancashire,Huyton,Knowsley,1950,huy1003,Longview,P. Longworth,Lab,1085,0,1,1,,1879,,57.74348,,
huy_090,1950huy1003,Lancashire,Huyton,Knowsley,1950,huy1003,Longview,D. S. Crichton,Con,763,0,1,2,,1879,,40.6067,,
huy_091,1950huy1003,Lancashire,Huyton,Knowsley,1950,huy1003,Longview,M. Hynes,Comm,31,0,1,3,,1879,,1.649814,,
huy_092,1950huy1004,Lancashire,Huyton,Knowsley,1950,huy1004,St. Agnes,J. Boocock,R.A.,592,0,1,1,,919,,64.41785,,
huy_093,1950huy1004,Lancashire,Huyton,Knowsley,1950,huy1004,St. Agnes,M. J. Moore,Lab,327,0,1,2,,919,,35.58215,,
huy_094,1950huy1005,Lancashire,Huyton,Knowsley,1950,huy1005,St. Bartholomew’s,L. N. Charnley,R.A.,1416,0,1,1,,2410,,58.75519,,
huy_095,1950huy1005,Lancashire,Huyton,Knowsley,1950,huy1005,St. Bartholomew’s,S. Gordon,Lab,958,0,1,2,,2410,,39.75104,,
huy_096,1950huy1005,Lancashire,Huyton,Knowsley,1950,huy1005,St. Bartholomew’s,G. Clarke,Comm,36,0,1,3,,2410,,1.493776,,
huy_097,1950huy1006,Lancashire,Huyton,Knowsley,1950,huy1006,St. Gabriel’s,G. P. McMahon,Lab,529,0,1,1,,910,,58.13187,,
huy_098,1950huy1006,Lancashire,Huyton,Knowsley,1950,huy1006,St. Gabriel’s,J. Rogers,R.A.,381,0,1,2,,910,,41.86813,,
huy_099,1950huy1007,Lancashire,Huyton,Knowsley,1950,huy1007,St. Michael’s,J. E. Griffiths,Con,1511,0,1,1,,3120,,48.42949,,
huy_100,1950huy1007,Lancashire,Huyton,Knowsley,1950,huy1007,St. Michael’s,R. Osborne,Lab,1048,0,1,2,,3120,,33.58974,,
huy_101,1950huy1007,Lancashire,Huyton,Knowsley,1950,huy1007,St. Michael’s,A. Johnstone,R.A.,561,0,1,3,,3120,,17.98077,,
huy_102,1950huy1008,Lancashire,Huyton,Knowsley,1950,huy1008,Swanside,W. O. Jones,R.A.,1185,0,1,1,,1990,,59.54774,,
huy_103,1950huy1008,Lancashire,Huyton,Knowsley,1950,huy1008,Swanside,W. Berrington,Lab,805,0,1,2,,1990,,40.45226,,
huy_104,1951huy1001,Lancashire,Huyton,Knowsley,1951,huy1001,Fincham,A. McCracken,Lab,1351,0,1,1,,2132,,63.36773,,
huy_105,1951huy1001,Lancashire,Huyton,Knowsley,1951,huy1001,Fincham,F. Smith,Con,781,0,1,2,,2132,,36.63227,,
huy_106,1951huy1002,Lancashire,Huyton,Knowsley,1951,huy1002,Huyton Farm,A. Hambleton,Lab,854,0,1,1,,1452,,58.81543,,
huy_107,1951huy1002,Lancashire,Huyton,Knowsley,1951,huy1002,Huyton Farm,W. N. Bates,Con,598,0,1,2,,1452,,41.18457,,
huy_108,1951huy1003,Lancashire,Huyton,Knowsley,1951,huy1003,Longview,F. W. Grosart,Lab,942,0,1,1,,1673,,56.30604,,
huy_109,1951huy1003,Lancashire,Huyton,Knowsley,1951,huy1003,Longview,R. S. Craig,Con,731,0,1,2,,1673,,43.69396,,
huy_110,1951huy1004,Lancashire,Huyton,Knowsley,1951,huy1004,St. Agnes,G. Fox,R.A.,688,0,1,1,,1078,,63.82189,,
huy_111,1951huy1004,Lancashire,Huyton,Knowsley,1951,huy1004,St. Agnes,M. J. Moore,Lab,390,0,1,2,,1078,,36.17811,,
huy_112,1951huy1005,Lancashire,Huyton,Knowsley,1951,huy1005,St. Bartholomew’s,K. F. Jessop,Con,1206,0,1,1,,2947,,40.92297,,
huy_113,1951huy1005,Lancashire,Huyton,Knowsley,1951,huy1005,St. Bartholomew’s,S. Gordon,Lab,1009,0,1,2,,2947,,34.23821,,
huy_114,1951huy1005,Lancashire,Huyton,Knowsley,1951,huy1005,St. Bartholomew’s,B. P. Jordon,R.A,732,0,1,3,,2947,,24.83882,,
huy_115,1951huy1006,Lancashire,Huyton,Knowsley,1951,huy1006,St. Gabriel’s,S. Powell,Lab,501,0,1,1,,980,,51.12245,,
huy_116,1951huy1006,Lancashire,Huyton,Knowsley,1951,huy1006,St. Gabriel’s,J. R. Biglands,R.A.,479,0,1,2,,980,,48.87755,,
huy_117,1951huy1007,Lancashire,Huyton,Knowsley,1951,huy1007,St. Michael’s,H. R. Palk,Con,1733,0,1,1,,3189,,54.34306,,
huy_118,1951huy1007,Lancashire,Huyton,Knowsley,1951,huy1007,St. Michael’s,R. Osbourne,Lab,1101,0,1,2,,3189,,34.52493,,
huy_119,1951huy1007,Lancashire,Huyton,Knowsley,1951,huy1007,St. Michael’s,J. Bevan,R.A.,355,0,1,3,,3189,,11.13202,,
huy_120,1951huy1008,Lancashire,Huyton,Knowsley,1951,huy1008,Swanside,W. A. Hughes,R.A.,1097,0,1,1,,1734,,63.26413,,
huy_121,1951huy1008,Lancashire,Huyton,Knowsley,1951,huy1008,Swanside,J. C. Howley,Lab,637,0,1,2,,1734,,36.73587,,
huy_122,1952huy1001,Lancashire,Huyton,Knowsley,1952,huy1001,Fincham,C. Delaney,Lab,1632,0,1,1,,1956,,83.43559,,
huy_123,1952huy1001,Lancashire,Huyton,Knowsley,1952,huy1001,Fincham,R. Arden,Con,324,0,1,2,,1956,,16.56442,,
huy_124,1952huy1002,Lancashire,Huyton,Knowsley,1952,huy1002,Huyton Farm,A. E. Perry,Lab,847,0,1,1,,1399,,60.54324,,
huy_125,1952huy1002,Lancashire,Huyton,Knowsley,1952,huy1002,Huyton Farm,H. Swainbank,Con,552,0,1,2,,1399,,39.45676,,
huy_126,1952huy1003,Lancashire,Huyton,Knowsley,1952,huy1003,Longview,J. Maguire,Lab,1147,0,1,1,,1755,,65.35612,,
huy_127,1952huy1003,Lancashire,Huyton,Knowsley,1952,huy1003,Longview,R.S Gale,Con,608,0,1,2,,1755,,34.64388,,
huy_128,1952huy1004,Lancashire,Huyton,Knowsley,1952,huy1004,St. Agnes,W. R. E. Cross,R.A.,679,0,1,1,,1029,,65.9864,,
huy_129,1952huy1004,Lancashire,Huyton,Knowsley,1952,huy1004,St. Agnes,W. Morley,Lab,350,0,1,2,,1029,,34.01361,,
huy_130,1952huy1005,Lancashire,Huyton,Knowsley,1952,huy1005,St. Bartholomew’s,L. S. Barrington,Con,1286,0,1,1,,2392,,53.76254,,
huy_131,1952huy1005,Lancashire,Huyton,Knowsley,1952,huy1005,St. Bartholomew’s,M. J. Moore,Lab,1106,0,1,2,,2392,,46.23746,,
huy_132,1952huy1006,Lancashire,Huyton,Knowsley,1952,huy1006,St. Gabriel’s,R. Foulkes,Lab,636,0,1,1,,1002,,63.47305,,
huy_133,1952huy1006,Lancashire,Huyton,Knowsley,1952,huy1006,St. Gabriel’s,J. R. Biglands,R.A.,366,0,1,2,,1002,,36.52695,,
huy_134,1952huy1007,Lancashire,Huyton,Knowsley,1952,huy1007,St. Michael’s,H. Owens,Con,1671,0,1,1,,2950,,56.64407,,
huy_135,1952huy1007,Lancashire,Huyton,Knowsley,1952,huy1007,St. Michael’s,D. Gladwinfield,Lab,1279,0,1,2,,2950,,43.35593,,
huy_136,1952huy1008,Lancashire,Huyton,Knowsley,1952,huy1008,Swanside,S. H. Hooper,R.A.,1140,0,1,1,,2066,,55.17909,,
huy_137,1952huy1008,Lancashire,Huyton,Knowsley,1952,huy1008,Swanside,N. Williams,Lab,926,0,1,2,,2066,,44.82091,,
huy_138,1953huy1001,Lancashire,Huyton,Knowsley,1953,huy1001,Fincham,C. Kelly,Lab,Unop,0,1,,,0,,,,
huy_139,1953huy1002,Lancashire,Huyton,Knowsley,1953,huy1002,Huyton Farm,S. Gordon,Lab,Unop,0,1,,,0,,,,
huy_140,1953huy1003,Lancashire,Huyton,Knowsley,1953,huy1003,Longview,P. Longworth,Lab,1216,0,1,1,,1759,,69.13019,,
huy_141,1953huy1003,Lancashire,Huyton,Knowsley,1953,huy1003,Longview,R. S. Gale,Con,543,0,1,2,,1759,,30.86981,,
huy_142,1953huy1004,Lancashire,Huyton,Knowsley,1953,huy1004,St. Agnes,J. R. Biglands,R.A.,413,0,1,1,,1082,,38.17006,,
huy_143,1953huy1004,Lancashire,Huyton,Knowsley,1953,huy1004,St. Agnes,D. D. Allan,Con,340,0,1,2,,1082,,31.42329,,
huy_144,1953huy1004,Lancashire,Huyton,Knowsley,1953,huy1004,St. Agnes,J. G. Lyons,Lab,329,0,1,3,,1082,,30.40665,,
huy_145,1953huy1005,Lancashire,Huyton,Knowsley,1953,huy1005,St. Bartholomew’s,G. W. Sealey,Con,1520,0,1,1,,2879,,52.79611,,
huy_146,1953huy1005,Lancashire,Huyton,Knowsley,1953,huy1005,St. Bartholomew’s,M. J. Moore,Lab,1359,0,1,2,,2879,,47.20389,,
huy_147,1953huy1006,Lancashire,Huyton,Knowsley,1953,huy1006,St. Gabriel’s,G. P. McMahon,Lab,834,0,1,1,,1251,,66.66666,,
huy_148,1953huy1006,Lancashire,Huyton,Knowsley,1953,huy1006,St. Gabriel’s,G. Jones,Con,417,0,1,2,,1251,,33.33333,,
huy_149,1953huy1007,Lancashire,Huyton,Knowsley,1953,huy1007,St. Michael’s,J. E. Griffiths,Con,1561,0,1,1,,2584,,60.41022,,
huy_150,1953huy1007,Lancashire,Huyton,Knowsley,1953,huy1007,St. Michael’s,J. P. Cull,Lab,1023,0,1,2,,2584,,39.58978,,
huy_151,1953huy1008,Lancashire,Huyton,Knowsley,1953,huy1008,Swanside,W. O. Jones,R.A.,1348,0,1,1,,2108,,63.94687,,
huy_152,1953huy1008,Lancashire,Huyton,Knowsley,1953,huy1008,Swanside,G. Jones,Lab,760,0,1,2,,2108,,36.05313,,
huy_153,1954huy2001,Lancashire,Huyton,Knowsley,1954,huy2001,Huyton Farm,W. Humphries,Lab,1028,0,1,1,,1527,,67.32155,,
huy_154,1954huy2001,Lancashire,Huyton,Knowsley,1954,huy2001,Huyton Farm,C. E. Arkell,Con,499,0,1,2,,1527,,32.67846,,
huy_155,1954huy2002,Lancashire,Huyton,Knowsley,1954,huy2002,Longview,F. W. Gosart,Lab,Unop,0,1,,,0,,,,
