id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
kirk001,1958kirk1001,Lancashire,Kirkby,Knowsley,1958,kirk1001,Central,Mrs E. B. Rose,Lab,1434,1,3,1,,4437,,96.95741,,
kirk002,1958kirk1001,Lancashire,Kirkby,Knowsley,1958,kirk1001,Central,P. H. Withington,Lab,1280,0,3,2,,4437,,86.54496,,
kirk003,1958kirk1001,Lancashire,Kirkby,Knowsley,1958,kirk1001,Central,J. Nugent,Lab,1203,0,3,3,,4437,,81.33875,,
kirk004,1958kirk1001,Lancashire,Kirkby,Knowsley,1958,kirk1001,Central,F. V. Wynne,Con,348,0,3,4,,4437,,23.52941,,
kirk005,1958kirk1001,Lancashire,Kirkby,Knowsley,1958,kirk1001,Central,J. G. Houghton,Comm,172,0,3,5,,4437,,11.62948,,
kirk006,1958kirk1002,Lancashire,Kirkby,Knowsley,1958,kirk1002,Cherryfield,J. Wylie,Lab,1183,0,3,1,,3736,,94.99464,,
kirk007,1958kirk1002,Lancashire,Kirkby,Knowsley,1958,kirk1002,Cherryfield,D. J. Cullis,Lab,1079,0,3,2,,3736,,86.64347,,
kirk008,1958kirk1002,Lancashire,Kirkby,Knowsley,1958,kirk1002,Cherryfield,A. Cook,Lab,1071,0,3,3,,3736,,86.00107,,
kirk009,1958kirk1002,Lancashire,Kirkby,Knowsley,1958,kirk1002,Cherryfield,Mrs M. Sprong,Con,274,1,3,4,,3736,,22.00214,,
kirk010,1958kirk1002,Lancashire,Kirkby,Knowsley,1958,kirk1002,Cherryfield,G.. W. Gamble,Comm,129,0,3,5,,3736,,10.35867,,
kirk011,1958kirk1003,Lancashire,Kirkby,Knowsley,1958,kirk1003,Minstead,Mrs M. J. Deering,Lab,668,1,3,1,,2499,,80.19208,,
kirk012,1958kirk1003,Lancashire,Kirkby,Knowsley,1958,kirk1003,Minstead,F. Lawler,Lab,640,0,3,2,,2499,,76.83073,,
kirk013,1958kirk1003,Lancashire,Kirkby,Knowsley,1958,kirk1003,Minstead,J. G. Keyes,Lab,606,0,3,3,,2499,,72.7491,,
kirk014,1958kirk1003,Lancashire,Kirkby,Knowsley,1958,kirk1003,Minstead,H. Ashcroft,Con,299,0,3,4,,2499,,35.89436,,
kirk015,1958kirk1003,Lancashire,Kirkby,Knowsley,1958,kirk1003,Minstead,Mrs E. A. Evans,Con,286,1,3,5,,2499,,34.33373,,
kirk016,1958kirk1004,Lancashire,Kirkby,Knowsley,1958,kirk1004,Northwood,T. W. Martland,Con,131,0,2,1,,565,,46.37168,,
kirk017,1958kirk1004,Lancashire,Kirkby,Knowsley,1958,kirk1004,Northwood,G. Bundred,Lab,127,0,2,2,,565,,44.95575,,
kirk018,1958kirk1004,Lancashire,Kirkby,Knowsley,1958,kirk1004,Northwood,W. Chisnall,Con,113,0,2,3,,565,,40,,
kirk019,1958kirk1004,Lancashire,Kirkby,Knowsley,1958,kirk1004,Northwood,J. Chambers,Lab,85,0,2,4,,565,,30.0885,,
kirk020,1958kirk1004,Lancashire,Kirkby,Knowsley,1958,kirk1004,Northwood,W. P. Breckenridge,Ind,68,0,2,5,,565,,24.0708,,
kirk021,1958kirk1004,Lancashire,Kirkby,Knowsley,1958,kirk1004,Northwood,J. J. Goodwin,Ind,41,0,2,6,,565,,14.51327,,
kirk022,1958kirk1005,Lancashire,Kirkby,Knowsley,1958,kirk1005,Park,W. Rogers,Lab,505,0,3,1,,2609,,58.06823,,
kirk023,1958kirk1005,Lancashire,Kirkby,Knowsley,1958,kirk1005,Park,C. Rohan,Lab,494,0,3,2,,2609,,56.80337,,
kirk024,1958kirk1005,Lancashire,Kirkby,Knowsley,1958,kirk1005,Park,J. Fraser,Lab,471,0,3,3,,2609,,54.15868,,
kirk025,1958kirk1005,Lancashire,Kirkby,Knowsley,1958,kirk1005,Park,J. C. Wess,Con,420,0,3,4,,2609,,48.29436,,
kirk026,1958kirk1005,Lancashire,Kirkby,Knowsley,1958,kirk1005,Park,J. Atherton,Con,360,0,3,5,,2609,,41.39517,,
kirk027,1958kirk1005,Lancashire,Kirkby,Knowsley,1958,kirk1005,Park,L. Etches,Con,359,0,3,6,,2609,,41.28019,,
kirk028,1958kirk1006,Lancashire,Kirkby,Knowsley,1958,kirk1006,Whitefield,T. Sayle,Lab,1036,0,3,1,,4156,,74.78345,,
kirk029,1958kirk1006,Lancashire,Kirkby,Knowsley,1958,kirk1006,Whitefield,J. A. Pearce,Lab,1004,0,3,2,,4156,,72.47353,,
kirk030,1958kirk1006,Lancashire,Kirkby,Knowsley,1958,kirk1006,Whitefield,D. Tempest,Lab,962,0,3,3,,4156,,69.44177,,
kirk031,1958kirk1006,Lancashire,Kirkby,Knowsley,1958,kirk1006,Whitefield,S. Wilson,Ind,614,0,3,4,,4156,,44.32146,,
kirk032,1958kirk1006,Lancashire,Kirkby,Knowsley,1958,kirk1006,Whitefield,C. G. McDonald,Con,336,0,3,5,,4156,,24.25409,,
kirk033,1958kirk1006,Lancashire,Kirkby,Knowsley,1958,kirk1006,Whitefield,W. J. Thornhill,Con,204,0,3,6,,4156,,14.7257,,
kirk034,1959kirk1001,Lancashire,Kirkby,Knowsley,1959,kirk1001,Central,J. Nugent,Lab,765,0,1,1,,988,,77.42915,,
kirk035,1959kirk1001,Lancashire,Kirkby,Knowsley,1959,kirk1001,Central,W. Chisnell,Ind,170,0,1,2,,988,,17.20648,,
kirk036,1959kirk1001,Lancashire,Kirkby,Knowsley,1959,kirk1001,Central,J. Houghton,Comm,53,0,1,3,,988,,5.364372,,
kirk037,1959kirk1002,Lancashire,Kirkby,Knowsley,1959,kirk1002,Cherryfield,A. Cook,Lab,549,0,1,1,,588,,93.36735,,
