id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
liv_004,1945liv1001,Liverpool,Liverpool,Liverpool,1945,liv1001,Abercromby,Lavery F.,Lab,2466,0,2,1,12663,8829,34.86141,55.86137,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-1",
liv_001,1945liv1001,Liverpool,Liverpool,Liverpool,1945,liv1001,Abercromby,Livermoore H.,Lab,2439,0,2,2,12663,8829,34.86141,55.24974,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-2",
liv_002,1945liv1001,Liverpool,Liverpool,Liverpool,1945,liv1001,Abercromby,Sloan J.,Con,1963,0,2,3,12663,8829,34.86141,44.4671,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-3",
liv_003,1945liv1001,Liverpool,Liverpool,Liverpool,1945,liv1001,Abercromby,Bowman G.,Con,1961,0,2,4,12663,8829,34.86141,44.42179,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-4",
liv_005,1945liv1002,Liverpool,Liverpool,Liverpool,1945,liv1002,Aigburth,Allen H.,Con,4468,0,1,1,16061,7473,46.52886,59.78857,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-5",
liv_006,1945liv1002,Liverpool,Liverpool,Liverpool,1945,liv1002,Aigburth,Carr J.,Lab,1505,0,1,2,16061,7473,46.52886,20.13917,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-6",
liv_007,1945liv1002,Liverpool,Liverpool,Liverpool,1945,liv1002,Aigburth,Davis V.,Lib,827,1,1,3,16061,7473,46.52886,11.06651,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-7",
liv_008,1945liv1002,Liverpool,Liverpool,Liverpool,1945,liv1002,Aigburth,Holland A.,Ind,673,0,1,4,16061,7473,46.52886,9.005754,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-8",
liv_009,1945liv1003,Liverpool,Liverpool,Liverpool,1945,liv1003,Allerton,Haswell C.,Con,2369,0,1,1,9784,4522,46.21832,52.38832,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-9",
liv_010,1945liv1003,Liverpool,Liverpool,Liverpool,1945,liv1003,Allerton,Dean-Jones W.,Lab,1392,0,1,2,9784,4522,46.21832,30.78284,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-10",
liv_011,1945liv1003,Liverpool,Liverpool,Liverpool,1945,liv1003,Allerton,Griffiths H.,Lib,761,0,1,3,9784,4522,46.21832,16.82884,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-11",
liv_012,1945liv1004,Liverpool,Liverpool,Liverpool,1945,liv1004,Anfield,Roberts A.,Con,3818,0,1,1,16905,6849,40.51464,55.74537,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-12",
liv_013,1945liv1004,Liverpool,Liverpool,Liverpool,1945,liv1004,Anfield,Barnes E.,Lab,3031,0,1,2,16905,6849,40.51464,44.25463,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-13",
liv_014,1945liv1005,Liverpool,Liverpool,Liverpool,1945,liv1005,Breckfield,Lewis D.,Con,2554,0,1,1,12201,5053,41.41464,50.54423,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-14",
liv_015,1945liv1005,Liverpool,Liverpool,Liverpool,1945,liv1005,Breckfield,Tipping W.,Lab,2499,0,1,2,12201,5053,41.41464,49.45577,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-15",
liv_017,1945liv1006,Liverpool,Liverpool,Liverpool,1945,liv1006,Brunswick,Basnett A.,Lab,0,0,2,1.5,6410,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-16",
liv_016,1945liv1006,Liverpool,Liverpool,Liverpool,1945,liv1006,Brunswick,Cain F.,Lab,0,0,2,1.5,6410,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-17",
liv_018,1945liv1007,Liverpool,Liverpool,Liverpool,1945,liv1007,Castle Street,Hansay W.,Lib,525,0,1,1,910,549,60.32967,95.62842,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-18",
liv_019,1945liv1007,Liverpool,Liverpool,Liverpool,1945,liv1007,Castle Street,Kay A.,Lab,24,0,1,2,910,549,60.32967,4.371585,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-19",
liv_025,1945liv1008,Liverpool,Liverpool,Liverpool,1945,liv1008,Childwall,Clarke W.,Con,3281,0,2,1,12988,11955,46.02325,54.88917,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-20",
liv_020,1945liv1008,Liverpool,Liverpool,Liverpool,1945,liv1008,Childwall,Young A.,Con,3105,0,2,2,12988,11955,46.02325,51.94479,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-21",
liv_021,1945liv1008,Liverpool,Liverpool,Liverpool,1945,liv1008,Childwall,Clegg A.,Lab,1857,0,2,3,12988,11955,46.02325,31.0665,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-22",
