id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
pres_001,1946pres1001,Lancashire,Prescot,Knowsley,1946,pres1001,Central,J. P. Preston,Ind,Unop,0,1,,,0,,,,
pres_006,1946pres1003,Lancashire,Prescot,Knowsley,1946,pres1003,East,W. Hughes,Ind,520,0,1,1,,1964,,26.47658,,
pres_007,1946pres1003,Lancashire,Prescot,Knowsley,1946,pres1003,East,E. Wilson,Lab,406,0,1,2,,1964,,20.6721,,
pres_002,1946pres1003,Lancashire,Prescot,Knowsley,1946,pres1003,North,R. Pennington,Ind,374,0,1,3,,1964,,19.04277,,
pres_003,1946pres1003,Lancashire,Prescot,Knowsley,1946,pres1003,North,A. Whitfield,Ind,316,0,1,4,,1964,,16.08961,,
pres_004,1946pres1003,Lancashire,Prescot,Knowsley,1946,pres1003,North,Mrs L. Rainford,Lab,231,1,1,5,,1964,,11.76171,,
pres_005,1946pres1003,Lancashire,Prescot,Knowsley,1946,pres1003,North,E. Taylor,Ind,117,0,1,6,,1964,,5.95723,,
pres_008,1946pres1004,Lancashire,Prescot,Knowsley,1946,pres1004,South,Mrs J. Roughley,Lab,837,1,2,1,,2642,,63.36109,,
pres_009,1946pres1004,Lancashire,Prescot,Knowsley,1946,pres1004,South,A. L. Thomas,Services,707,0,2,2,,2642,,53.52006,,
pres_010,1946pres1004,Lancashire,Prescot,Knowsley,1946,pres1004,South,S. Houghton,Lab,405,0,2,3,,2642,,30.65859,,
pres_011,1946pres1004,Lancashire,Prescot,Knowsley,1946,pres1004,South,W. Blackbourn,Ind,349,0,2,4,,2642,,26.41938,,
pres_012,1946pres1004,Lancashire,Prescot,Knowsley,1946,pres1004,South,W. R. Lauder,Con,184,0,2,5,,2642,,13.92884,,
pres_013,1946pres1004,Lancashire,Prescot,Knowsley,1946,pres1004,South,F. W. Boydell,Con,160,0,2,6,,2642,,12.11204,,
pres_014,1946pres1005,Lancashire,Prescot,Knowsley,1946,pres1005,West,J. H. Brownbill,Ind,Unop,0,1,,,0,,,,
pres_015,1947pres1001,Lancashire,Prescot,Knowsley,1947,pres1001,Central,R. M. Greenall,Ind,224,0,1,1,,620,,36.12903,,
pres_016,1947pres1001,Lancashire,Prescot,Knowsley,1947,pres1001,Central,P. Taylor,Ind,221,0,1,2,,620,,35.64516,,
pres_017,1947pres1001,Lancashire,Prescot,Knowsley,1947,pres1001,Central,A. Bradley,Lab,175,0,1,3,,620,,28.22581,,
pres_020,1947pres1003,Lancashire,Prescot,Knowsley,1947,pres1003,East,W. Johnson,Ind,588,0,1,1,,1649,,35.65797,,
pres_018,1947pres1003,Lancashire,Prescot,Knowsley,1947,pres1003,North,Mrs L. Rainford,Lab,403,1,1,2,,1649,,24.43905,,
pres_019,1947pres1003,Lancashire,Prescot,Knowsley,1947,pres1003,North,J. Fairhurst,Ind,383,0,1,3,,1649,,23.2262,,
pres_021,1947pres1003,Lancashire,Prescot,Knowsley,1947,pres1003,East,E. Wilson,Lab,275,0,1,4,,1649,,16.67677,,
pres_022,1947pres1004,Lancashire,Prescot,Knowsley,1947,pres1004,South,R. L. Thomas,Ind,768,0,1,1,,1107,,69.37669,,
pres_023,1947pres1004,Lancashire,Prescot,Knowsley,1947,pres1004,South,S. Houghton,Lab,339,0,1,2,,1107,,30.62331,,
pres_024,1947pres1005,Lancashire,Prescot,Knowsley,1947,pres1005,West,J. B. Beesley,Ind,Unop,0,1,,,0,,,,
pres_025,1948pres1001,Lancashire,Prescot,Knowsley,1948,pres1001,Central,W. J. C. Hind,Ind,416,0,1,1,,713,,58.34502,,
pres_026,1948pres1001,Lancashire,Prescot,Knowsley,1948,pres1001,Central,G. H. Johnson,Lab,297,0,1,2,,713,,41.65498,,
pres_029,1948pres1003,Lancashire,Prescot,Knowsley,1948,pres1003,East,H. F. Taylor,Con,691,0,1,1,,2095,,32.9833,,
pres_030,1948pres1003,Lancashire,Prescot,Knowsley,1948,pres1003,East,Mrs L. K. Whittle,Lab,562,1,1,2,,2095,,26.82578,,
