id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
sou_001,1945sout1001,Southport,Southport,Sefton,1945,sout1001,Ainsdale,Tomlinson E.,Lib,0,0,2,1.5,0,0,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-1",
sou_002,1945sout1001,Southport,Southport,Sefton,1945,sout1001,Ainsdale,Hall E.,Con,0,0,2,1.5,0,0,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-2",
sou_003,1945sout1002,Southport,Southport,Sefton,1945,sout1002,Birkdale East,Smith E.,Con,824,1,2,1,0,2628,,62.70929,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-3",
sou_004,1945sout1002,Southport,Southport,Sefton,1945,sout1002,Birkdale East,Atherton H.,Lab,521,0,2,4,0,2628,,39.64993,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-4",
sou_005,1945sout1002,Southport,Southport,Sefton,1945,sout1002,Birkdale East,Parramore W.,Lab,546,0,2,3,0,2628,,41.55251,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-5",
sou_006,1945sout1002,Southport,Southport,Sefton,1945,sout1002,Birkdale East,Townson W.,Lib,737,0,2,2,0,2628,,56.08828,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-6",
sou_007,1945sout1003,Southport,Southport,Sefton,1945,sout1003,Birkdale North,Jennings J.,ILP,296,0,1,2,0,1047,,28.27125,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-7",
sou_008,1945sout1003,Southport,Southport,Sefton,1945,sout1003,Birkdale North,Leigh A.,Con,751,1,1,1,0,1047,,71.72875,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-8",
sou_009,1945sout1004,Southport,Southport,Sefton,1945,sout1004,Birkdale South,McCabe E.,Lib,1191,0,1,2,0,3851,,30.92703,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-9",
sou_010,1945sout1004,Southport,Southport,Sefton,1945,sout1004,Birkdale South,Hewlett C.,Lab,1155,1,1,3,0,3851,,29.99221,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-10",
sou_011,1945sout1004,Southport,Southport,Sefton,1945,sout1004,Birkdale South,Raynor E.,Con,1505,0,1,1,0,3851,,39.08076,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-11",
sou_012,1945sout1005,Southport,Southport,Sefton,1945,sout1005,Birkdale West,Wormell J.,Con,0,0,2,1.5,0,0,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-12",
sou_013,1945sout1005,Southport,Southport,Sefton,1945,sout1005,Birkdale West,Cocker J.,Con,0,0,2,1.5,0,0,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-13",
sou_014,1945sout1006,Southport,Southport,Sefton,1945,sout1006,Central,Lloyd R.,Lib,637,0,1,1,0,963,,66.14745,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-14",
sou_015,1945sout1006,Southport,Southport,Sefton,1945,sout1006,Central,Rothwell C.,Con,326,0,1,2,0,963,,33.85254,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-15",
sou_016,1945sout1007,Southport,Southport,Sefton,1945,sout1007,Craven,Betteridge F.,Ind,601,0,1,2,0,1804,,33.31486,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-16",
sou_017,1945sout1007,Southport,Southport,Sefton,1945,sout1007,Craven,Fletcher F.,Con,1203,0,1,1,0,1804,,66.68514,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-17",
sou_018,1945sout1008,Southport,Southport,Sefton,1945,sout1008,Hesketh,Townsend A.,Lab,1363,0,2,3,0,7197,,37.87689,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-18",
