id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
sth_a_004,1945stha1001,St Helens,St Helens,St Helens,1945,stha1001,Central,Hignett T.,Lab,1872,0,2,1,0,6084,,61.53846,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-230",
sth_a_003,1945stha1001,St Helens,St Helens,St Helens,1945,stha1001,Central,Henebery J.,Lab,1861,0,2,2,0,6084,,61.17686,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-231",
sth_a_001,1945stha1001,St Helens,St Helens,St Helens,1945,stha1001,Central,Fenton A.,Con,1226,0,2,3,0,6084,,40.30243,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-232",
sth_a_002,1945stha1001,St Helens,St Helens,St Helens,1945,stha1001,Central,Dingsdale H.,Con,1125,0,2,4,0,6084,,36.98225,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-233",
sth_a_006,1945stha1002,St Helens,St Helens,St Helens,1945,stha1002,East Sutton,Griffiths P.,Lab,0,0,2,1.5,0,0,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-234",
sth_a_005,1945stha1002,St Helens,St Helens,St Helens,1945,stha1002,East Sutton,Hughes J.,Lab,0,0,2,1.5,0,0,,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-235",
sth_a_007,1945stha1003,St Helens,St Helens,St Helens,1945,stha1003,Hardshaw,Williams W.,Lab,2170,0,1,1,0,3238,,67.01668,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-236",
sth_a_008,1945stha1003,St Helens,St Helens,St Helens,1945,stha1003,Hardshaw,Blackledge P.,Con,1068,0,1,2,0,3238,,32.98332,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-237",
sth_a_009,1945stha1004,St Helens,St Helens,St Helens,1945,stha1004,North Eccleston,Jones J.,Lab,1884,0,1,1,0,3227,,58.3824,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-238",
sth_a_010,1945stha1004,St Helens,St Helens,St Helens,1945,stha1004,North Eccleston,Cathcart M.,Con,1343,1,1,2,0,3227,,41.6176,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-239",
sth_a_014,1945stha1005,St Helens,St Helens,St Helens,1945,stha1005,North Windle,Williams A.,Con,2759,0,3,1,0,13082,,63.27014,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-240",
sth_a_015,1945stha1005,St Helens,St Helens,St Helens,1945,stha1005,North Windle,Winter R.,Con,2714,0,3,2,0,13082,,62.23819,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-241",
