id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
sth_b_001,1973sthb1001,,St Helens,St Helens,1973,sthb1001,Billinge & Seneley Green,Hogan,LAB,1673,0,3,1,7838,6900,29.34422,72.73913,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-230",
sth_b_002,1973sthb1001,,St Helens,St Helens,1973,sthb1001,Billinge & Seneley Green,Bentham,LAB,1580,0,3,2,7838,6900,29.34422,68.69566,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-231",
sth_b_003,1973sthb1001,,St Helens,St Helens,1973,sthb1001,Billinge & Seneley Green,Daley,LAB,1578,0,3,3,7838,6900,29.34422,68.6087,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-232",
sth_b_004,1973sthb1001,,St Helens,St Helens,1973,sthb1001,Billinge & Seneley Green,Marlow,Ind Lib,1146,0,3,4,7838,6900,29.34422,49.82609,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-233",
sth_b_005,1973sthb1001,,St Helens,St Helens,1973,sthb1001,Billinge & Seneley Green,Rowdell,CON,923,0,3,5,7838,6900,29.34422,40.13044,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-234",
sth_b_006,1973sthb1002,,St Helens,St Helens,1973,sthb1002,Eccleston & Windle,Crosby W.,CON,2555,0,3,1,9404,10245,36.31433,74.81699,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-235",
sth_b_007,1973sthb1002,,St Helens,St Helens,1973,sthb1002,Eccleston & Windle,Greener B.,CON,2183,0,3,2,9404,10245,36.31433,63.92387,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-236",
sth_b_008,1973sthb1002,,St Helens,St Helens,1973,sthb1002,Eccleston & Windle,Ridge,CON,1852,0,3,3,9404,10245,36.31433,54.23133,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-237",
sth_b_009,1973sthb1002,,St Helens,St Helens,1973,sthb1002,Eccleston & Windle,McCormack T.,IND,1840,0,3,4,9404,10245,36.31433,53.87994,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-238",
sth_b_010,1973sthb1002,,St Helens,St Helens,1973,sthb1002,Eccleston & Windle,Curran,LAB,672,0,3,5,9404,10245,36.31433,19.67789,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-239",
sth_b_011,1973sthb1002,,St Helens,St Helens,1973,sthb1002,Eccleston & Windle,Bishop,LAB,662,0,3,6,9404,10245,36.31433,19.38507,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-240",
