id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
wal_004,1945wall1001,Wallasey,Wallasey,Wirral,1945,wall1001,Leasowe,Findley T.,Lab,1065,0,2,1,3542,3494,49.32242,60.96165,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-1",
wal_003,1945wall1001,Wallasey,Wallasey,Wirral,1945,wall1001,Leasowe,Findley J.,Lab,1054,1,2,2,3542,3494,49.32242,60.332,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-2",
wal_001,1945wall1001,Wallasey,Wallasey,Wirral,1945,wall1001,Leasowe,Burrows S.,Con,688,0,2,3,3542,3494,49.32242,39.3818,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-3",
wal_002,1945wall1001,Wallasey,Wallasey,Wirral,1945,wall1001,Leasowe,Harper G.,Con,687,0,2,4,3542,3494,49.32242,39.32456,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-4",
wal_005,1945wall1002,Wallasey,Wallasey,Wirral,1945,wall1002,Marlowe,Nicholson W.,Lib,1462,0,2,1,4403,4350,49.39814,67.21839,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-5",
wal_007,1945wall1002,Wallasey,Wallasey,Wirral,1945,wall1002,Marlowe,Caley J.,Lib,1385,0,2,2,4403,4350,49.39814,63.67816,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-6",
wal_008,1945wall1002,Wallasey,Wallasey,Wirral,1945,wall1002,Marlowe,Nesbitt R.,Con,816,0,2,3,4403,4350,49.39814,37.51724,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-7",
wal_006,1945wall1002,Wallasey,Wallasey,Wirral,1945,wall1002,Marlowe,Barnes W.,Con,687,0,2,4,4403,4350,49.39814,31.58621,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-8",
wal_010,1945wall1003,Wallasey,Wallasey,Wirral,1945,wall1003,Moreton,Bell J.,Con,967,0,1,1,3959,1895,47.86562,51.02902,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-9",
wal_009,1945wall1003,Wallasey,Wallasey,Wirral,1945,wall1003,Moreton,Bayce J.,Lab,928,0,1,2,3959,1895,47.86562,48.97098,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-10",
wal_011,1945wall1004,Wallasey,Wallasey,Wirral,1945,wall1004,New Brighton,Oddle H.,Con,1234,0,1,1,4793,3082,64.30211,40.03894,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-11",
wal_012,1945wall1004,Wallasey,Wallasey,Wirral,1945,wall1004,New Brighton,Smith H.,Lib,1041,0,1,2,4793,3082,64.30211,33.77677,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-12",
wal_013,1945wall1004,Wallasey,Wallasey,Wirral,1945,wall1004,New Brighton,Farley G.,Ind,807,0,1,3,4793,3082,64.30211,26.1843,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-13",
wal_015,1945wall1005,Wallasey,Wallasey,Wirral,1945,wall1005,North Egremont,Gee H.,Con,896,0,2,1,3473,3056,43.99654,58.63874,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-14",
wal_014,1945wall1005,Wallasey,Wallasey,Wirral,1945,wall1005,North Egremont,Grainger J.,Con,754,0,2,2,3473,3056,43.99654,49.34555,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-15",
wal_017,1945wall1005,Wallasey,Wallasey,Wirral,1945,wall1005,North Egremont,Goffin A.,Lab,498,0,2,3,3473,3056,43.99654,32.59162,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-16",
wal_016,1945wall1005,Wallasey,Wallasey,Wirral,1945,wall1005,North Egremont,Boggin M.,Lab,480,0,2,4,3473,3056,43.99654,31.41361,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-17",
wal_018,1945wall1005,Wallasey,Wallasey,Wirral,1945,wall1005,North Egremont,Hawkins A.,Lib,428,0,2,5,3473,3056,43.99654,28.01047,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-18",
wal_023,1945wall1006,Wallasey,Wallasey,Wirral,1945,wall1006,North Liscard,Kendall E.,Lib,846,0,2,1,4114,3921,47.65435,43.15226,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-19",
wal_022,1945wall1006,Wallasey,Wallasey,Wirral,1945,wall1006,North Liscard,McCann A.,Lib,816,0,2,2,4114,3921,47.65435,41.62204,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-20",
wal_021,1945wall1006,Wallasey,Wallasey,Wirral,1945,wall1006,North Liscard,Nickson G.,Con,723,0,2,3,4114,3921,47.65435,36.87835,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-21",
wal_019,1945wall1006,Wallasey,Wallasey,Wirral,1945,wall1006,North Liscard,Boyce S.,Con,655,1,2,4,4114,3921,47.65435,33.40984,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-22",
wal_020,1945wall1006,Wallasey,Wallasey,Wirral,1945,wall1006,North Liscard,Jones W.,Lab,445,0,2,5,4114,3921,47.65435,22.69829,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-23",
wal_024,1945wall1006,Wallasey,Wallasey,Wirral,1945,wall1006,North Liscard,Burnett T.,Lab,436,0,2,6,4114,3921,47.65435,22.23923,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-24",
wal_025,1945wall1007,Wallasey,Wallasey,Wirral,1945,wall1007,North Seacombe,King B.,Lab,803,0,2,1,3293,3003,45.59672,53.47985,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-25",
wal_028,1945wall1007,Wallasey,Wallasey,Wirral,1945,wall1007,North Seacombe,Ingram B.,Lab,685,0,2,2,3293,3003,45.59672,45.62104,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-26",
wal_029,1945wall1007,Wallasey,Wallasey,Wirral,1945,wall1007,North Seacombe,Guest E.,Con,564,0,2,3,3293,3003,45.59672,37.56244,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-27",
wal_027,1945wall1007,Wallasey,Wallasey,Wirral,1945,wall1007,North Seacombe,Cairns J.,Lib,512,0,2,4,3293,3003,45.59672,34.09924,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-28",
wal_026,1945wall1007,Wallasey,Wallasey,Wirral,1945,wall1007,North Seacombe,Briggs H.,Con,439,0,2,5,3293,3003,45.59672,29.23743,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-29",
