id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,note,,,,,,
whis_001,1946whis1001,,Whiston,,1946,whis1001,Bold,J. Forster,Ind,477,0,2,1,,1588,,60.07557,,,,,,,,
whis_002,1946whis1001,,Whiston,,1946,whis1001,Bold,H. T. Hulme,Ind,438,0,2,2,,1588,,55.16373,,,,,,,,
whis_003,1946whis1001,,Whiston,,1946,whis1001,Bold,F. Martin,Lab,341,0,2,3,,1588,,42.9471,,,,,,,,
whis_004,1946whis1001,,Whiston,,1946,whis1001,Bold,J. O'Leary,Ind,332,0,2,4,,1588,,41.8136,,,,,,,,
whis_005,1946whis1002,,Whiston,,1946,whis1002,Cronton,D. B. R. Whitfield,Ind,Unop,0,1,,,0,,,,,,,,,,
whis_006,1946whis1003,,Whiston,,1946,whis1003,Eccleston,S. Reakes,Ind,893,0,2,1,,3786,,47.1738,,,,,,,,
whis_007,1946whis1003,,Whiston,,1946,whis1003,Eccleston,D. Saunders,Ind,760,0,2,2,,3786,,40.14791,,,,,,,,
whis_008,1946whis1003,,Whiston,,1946,whis1003,Eccleston,C. H. Taylor,Ind,660,0,2,3,,3786,,34.86529,,,,,,,,
whis_009,1946whis1003,,Whiston,,1946,whis1003,Eccleston,Harry Taylor,Ind,510,0,2,4,,3786,,26.94136,,,,,,,,
whis_010,1946whis1003,,Whiston,,1946,whis1003,Eccleston,H. E. Moody,Ind,399,0,2,5,,3786,,21.07765,,,,,,,,
whis_011,1946whis1003,,Whiston,,1946,whis1003,Eccleston,F. G. Briggs,Lab,335,0,2,6,,3786,,17.69678,,,,,,,,
whis_012,1946whis1003,,Whiston,,1946,whis1003,Eccleston,Mrs E. J. Rogers,Lab,229,1,2,7,,3786,,12.0972,,,,,,,,
whis_013,1946whis1004,,Whiston,,1946,whis1004,Hale,J. H. Mills,Con,Unop,0,1,,,0,,,,,,,,,,
whis_014,1946whis1005,,Whiston,,1946,whis1005,Halewood,F. J. Lunt,Ind,549,0,2,1,,1882,,58.34219,,,,,,,,
whis_015,1946whis1005,,Whiston,,1946,whis1005,Halewood,J. T Court,Ind,545,0,2,2,,1882,,57.91711,,,,,,,,
whis_016,1946whis1005,,Whiston,,1946,whis1005,Halewood,Mrs M. K. Lamb,Lab,399,1,2,3,,1882,,42.4017,,,,,,,,
whis_017,1946whis1005,,Whiston,,1946,whis1005,Halewood,C. W. Dyter,Lab,389,0,2,4,,1882,,41.339,,,,,,,,
whis_018,1946whis1006,,Whiston,,1946,whis1006,Kirkby,C. S. Powell,Ind,616,0,1,1,,816,,75.4902,,,,,,,,
whis_019,1946whis1006,,Whiston,,1946,whis1006,Kirkby,W. R. Lennie,Lab,200,0,1,2,,816,,24.5098,,,,,,,,
whis_020,1946whis1007,,Whiston,,1946,whis1007,Knowsley,S. W. Gane,Lab,509,0,2,1,,1675,,60.77612,,,,,,,,
whis_021,1946whis1007,,Whiston,,1946,whis1007,Knowsley,H. Rattway,Lab,491,0,2,2,,1675,,58.62687,,,,,,,,
whis_022,1946whis1007,,Whiston,,1946,whis1007,Knowsley,J. M. Rawlinson,Ind,362,0,2,3,,1675,,43.22388,,,,,,,,
whis_023,1946whis1007,,Whiston,,1946,whis1007,Knowsley,F. Smith,Ind,313,0,2,4,,1675,,37.37313,,,,,,,,
whis_024,1946whis1008,,Whiston,,1946,whis1008,Rainhill,F. Dickie,Lab,910,0,2,1,,2412,,75.45605,,,,,,,,
whis_025,1946whis1008,,Whiston,,1946,whis1008,Rainhill,H. Welsby,Con,852,0,2,2,,2412,,70.64677,,,,,,,,
whis_026,1946whis1008,,Whiston,,1946,whis1008,Rainhill,J. Moore,Lab,344,0,2,3,,2412,,28.52405,,,,,,,,
whis_027,1946whis1008,,Whiston,,1946,whis1008,Rainhill,G. Scott,Con,306,0,2,4,,2412,,25.37313,,,,,,,,
whis_028,1946whis1009,,Whiston,,1946,whis1009,Tarbock,J. E. Cartwright,Ind,Unop,0,1,,,0,,,,,,,,,,
whis_029,1946whis1010,,Whiston,,1946,whis1010,Whiston,T. Henry,Lab,1037,0,2,1,,2915,,71.14923,,,,,,,,
whis_030,1946whis1010,,Whiston,,1946,whis1010,Whiston,J. Williams,Lab,1014,0,2,2,,2915,,69.57118,,,,,,,,
whis_031,1946whis1010,,Whiston,,1946,whis1010,Whiston,A. Stott,Ind,311,0,2,3,,2915,,21.33791,,,,,,,,
whis_032,1946whis1010,,Whiston,,1946,whis1010,Whiston,E. Cork,Ind,271,0,2,4,,2915,,18.59348,,,,,,,,
whis_033,1946whis1010,,Whiston,,1946,whis1010,Whiston,S. Wroe,Ind,163,0,2,5,,2915,,11.18353,,,,,,,,
whis_034,1946whis1010,,Whiston,,1946,whis1010,Whiston,E.W. Phizackerley,Ind,119,0,2,6,,2915,,8.164665,,,,,,,,
whis_035,1946whis1011,,Whiston,,1946,whis1011,Windle,R. Fitzpatrick,Ind,431,0,1,1,,1124,,38.3452,,,,,,,,
whis_036,1946whis1011,,Whiston,,1946,whis1011,Windle,L. Sampson,Ind,352,0,1,2,,1124,,31.31673,,,,,,,,
whis_037,1946whis1011,,Whiston,,1946,whis1011,Windle,A. Stretch,Lab,341,0,1,3,,1124,,30.33808,,,,,,,,
whis_038,1947whis1001,,Whiston,,1947,whis1001,Bold,,,,,,,,0,,,,,,,,,,
whis_039,1949whis1001,,Whiston,,1949,whis1001,Bold,H. Whitfield,Con,Unop,0,2,,,0,,,,,,,,,,
whis_040,1949whis1001,,Whiston,,1949,whis1001,Bold,J. Forster,Con,Unop,0,2,,,0,,,,,,,,,,
whis_041,1949whis1002,,Whiston,,1949,whis1002,Cronton,J. E. Williams,Lab,Unop,0,1,,,0,,,,,,,,,,
whis_042,1949whis1003,,Whiston,,1949,whis1003,Eccleston,J. Harrison,Con,572,0,1,1,,979,,58.42697,,,,,,,,
whis_043,1949whis1003,,Whiston,,1949,whis1003,Eccleston,H. Taylor,Ind,407,0,1,2,,979,,41.57303,,,,,,,,
whis_044,1949whis1004,,Whiston,,1949,whis1004,Hale,J. H. Mills,Con,Unop,0,1,,,0,,,,,,,,,,
whis_045,1949whis1005,,Whiston,,1949,whis1005,Halewood,T. R. Carter,Ind,Unop,0,2,,,0,,,,,,,,,,
whis_046,1949whis1005,,Whiston,,1949,whis1005,Halewood,F. J. Lunt,Con,Unop,0,2,,,0,,,,,,,,,,
whis_047,1949whis1006,,Whiston,,1949,whis1006,Kirkby,T. S. Powell,Ind,Unop,0,1,,,0,,,,,,,,,,
whis_048,1949whis1007,,Whiston,,1949,whis1007,Knowsley,T. Rose,Con,836,0,2,1,,1977,,84.57259,,,,,,,,
whis_049,1949whis1007,,Whiston,,1949,whis1007,Knowsley,S. Brich,Lab,594,0,2,2,,1977,,60.09105,,,,,,,,
whis_050,1949whis1007,,Whiston,,1949,whis1007,Knowsley,E. F. Cashman,Lab,547,0,2,3,,1977,,55.33637,,,,,,,,
whis_051,1949whis1008,,Whiston,,1949,whis1008,Rainhill,H. Welsby,Con,889,0,2,1,,3899,,45.60144,,,,,,,,
whis_052,1949whis1008,,Whiston,,1949,whis1008,Rainhill,P. Johnson,Lab,878,0,2,2,,3899,,45.03719,,,,,,,,
whis_053,1949whis1008,,Whiston,,1949,whis1008,Rainhill,J. Moore,Lab,835,0,2,3,,3899,,42.83149,,,,,,,,
whis_054,1949whis1008,,Whiston,,1949,whis1008,Rainhill,K. Miller,Con,671,0,2,4,,3899,,34.41908,,,,,,,,
whis_055,1949whis1008,,Whiston,,1949,whis1008,Rainhill,J. H. Welsby,Ind,626,0,2,5,,3899,,32.1108,,,,,,,,
whis_056,1949whis1009,,Whiston,,1949,whis1009,Tarbock,W. Brocklehurst,Con,249,0,1,1,,296,,84.12162,,,,,,,,
whis_057,1949whis1009,,Whiston,,1949,whis1009,Tarbock,G. Lockhart,Lab,47,0,1,2,,296,,15.87838,,,,,,,,
