id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes,,,,,,
wir_b_001,1973wir_b_1001,Merseyside,Wirral,Wirral,1973,wir_b_1001,Bebington: Higher Bebington & Woodhey,Theaker F.,CON,2458,0,3,1,10262,13181,42.81491,55.94416,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://dx.doi.org/10.5255/UKDA-SN-5319-230",,,,,,,
wir_b_002,1973wir_b_1001,Merseyside,Wirral,Wirral,1973,wir_b_1001,Bebington: Higher Bebington & Woodhey,Richmond A.,CON,2434,0,3,2,10262,13181,42.81491,55.39792,,,,,,,,
wir_b_003,1973wir_b_1001,Merseyside,Wirral,Wirral,1973,wir_b_1001,Bebington: Higher Bebington & Woodhey,Pike E.,CON,2405,0,3,3,10262,13181,42.81491,54.73788,,,,,,,,
wir_b_004,1973wir_b_1001,Merseyside,Wirral,Wirral,1973,wir_b_1001,Bebington: Higher Bebington & Woodhey,Bennett,LAB,1149,0,3,4,10262,13181,42.81491,26.15128,,,,,,,,
wir_b_005,1973wir_b_1001,Merseyside,Wirral,Wirral,1973,wir_b_1001,Bebington: Higher Bebington & Woodhey,Irvine M.,LAB,1145,0,3,5,10262,13181,42.81491,26.06024,,,,,,,,
wir_b_006,1973wir_b_1001,Merseyside,Wirral,Wirral,1973,wir_b_1001,Bebington: Higher Bebington & Woodhey,Wingate,LAB,1105,0,3,6,10262,13181,42.81491,25.14984,,,,,,,,
wir_b_007,1973wir_b_1001,Merseyside,Wirral,Wirral,1973,wir_b_1001,Bebington: Higher Bebington & Woodhey,Snedker,Lib,896,0,3,7,10262,13181,42.81491,20.39299,,,,,,,,
wir_b_008,1973wir_b_1001,Merseyside,Wirral,Wirral,1973,wir_b_1001,Bebington: Higher Bebington & Woodhey,Duckers,Lib,854,0,3,8,10262,13181,42.81491,19.43707,,,,,,,,
wir_b_009,1973wir_b_1001,Merseyside,Wirral,Wirral,1973,wir_b_1001,Bebington: Higher Bebington & Woodhey,Watson,Lib,735,0,3,9,10262,13181,42.81491,16.72862,,,,,,,,
wir_b_010,1973wir_b_1002,Merseyside,Wirral,Wirral,1973,wir_b_1002,Bebington: Lower Bebington & Poulton,Jackson,CON,2498,0,3,1,12016,13915,38.60131,53.85555,,,,,,,,
wir_b_011,1973wir_b_1002,Merseyside,Wirral,Wirral,1973,wir_b_1002,Bebington: Lower Bebington & Poulton,Moore M.,CON,2472,0,3,2,12016,13915,38.60131,53.29501,,,,,,,,
wir_b_012,1973wir_b_1002,Merseyside,Wirral,Wirral,1973,wir_b_1002,Bebington: Lower Bebington & Poulton,Goodfellow D.,CON,2445,1,3,3,12016,13915,38.60131,52.7129,,,,,,,,
